a,b
0,0.538461538
0,0.222222222
0,0.363636364
0,0.2
0,0
0,0.4
0,0.111111111
0,0.366666667
0,0.294117647
0,0
0.68,0.142857143
0.66,0.454545455
0,0
0,0.142857143
0,0.583333333
0,0.538461538
0,0.090909091
0,0.666666667
0,0.153846154
0,0.307692308
0,0
0,0.444444444
0.73,0.230769231
0,0.090909091
0,0.375
0,0.222222222
0,0.166666667
0,0.1875
0,0.066666667
0,0.25
0,0.347826087
0.55,0.652173913
0.54,0.222222222
0.65,0.333333333
0,0.25
0,0.261904762
0,0.1
0,0.333333333
0.77,0.230769231
0.7,0.058823529
0,0.222222222
0,0.1
0.87,0.111111111
0.74,0.181818182
0.39,0.166666667
0.44,0.2
0.64,0.8125
0,0.083333333
0.56,0.090909091
0,0
0,0
0.94,0.842105263
0.95,0.538461538
0,0.8
0,0
0,0.1
0.59,0.636363636
0,0.125
0.88,0
0.83,0.615384615
0.78,0
0.65,0.5
0.63,0.6
0.52,0
0.92,0.181818182
1,0.5625
0.98,0.75
1,0.181818182
0,0.4
0,0.8
0.79,0.80952381
0,0.5
0.95,0.166666667
0,0.2
0.92,0.333333333
0,0.6
0.89,0.428571429
0.95,0.357142857
1,0.818181818
0,0.757575758
0.9,0.9375
0.78,0.0625
0,0.764705882
0.64,0
0,0.25
0.86,0.823529412
0.05,0.842105263
0.79,0
0,0.625
0,0.681818182
0.82,0.1875
0,0.647058824
0,0.111111111
0,0.6
0.82,0.8125
0.88,0.166666667
0.77,0.538461538
0.88,0.272727273
0.65,0.444444444
0.79,0.68
0,0.818181818
0,0.125
0.81,0.4
0.76,0.5
0.6,0
0,0.692307692
0,0.181818182
0,0.111111111
0.72,0.307692308
0.82,0.454545455
0,0
0,0.375
0.93,0.777777778
0,0
0,0.530612245
0.7,0.695652174
0.8,0.363636364
0,0.083333333
0,0.125
0.96,0.090909091
0.86,0.538461538
0,0.222222222
0,0
0.86,0.473684211
0,0.222222222
1,0.363636364
0.88,0.076923077
0,0.782608696
0,0.466666667
0,0.111111111
0,0.65
0.5,0.272727273
0.44,1
0,0.090909091
0.48,0
0.76,0.2
0,0.25
0,0.363636364
0,0.388888889
0,0.6875
0.85,0.083333333
0,0.736842105
0,0.05
0.74,0.181818182
0.94,0.2
0.78,0.666666667
0,0.111111111
0.22,0.625
0,0.6
0.88,0.083333333
0,0.763157895
0.89,0.7
0,0.333333333
0.78,0.625
0.62,0.090909091
0.67,0.1
0.69,0.363636364
0.75,0.615384615
0.78,0.769230769
0.97,0.1
0.9,0.083333333
0,0.307692308
0.8,0.555555556
0.83,0.25
1,0.272727273
1,0.666666667
0,0
0,0.307692308
0.5,0.357142857
0.56,0.2
0,0.5
0,0.090909091
0.6,0.090909091
0,0
0.6,0.833333333
0.64,0.111111111
0,0.444444444
1,0.166666667
0.67,0.416666667
0,0.5
0.81,0.1
0,0.375
0.75,0.444444444
0,0.705882353
0,0.5
0,0.454545455
0.77,0.076923077
0,0.090909091
0,0.466666667
0,0.1
0,0.25
0,0.3
0,0.166666667
0.59,0
0.69,0.25
0,0.1
0,0.272727273
0.63,0.25
0.63,0.2
0,0.818181818
0.65,0.1
0,0
0.74,0.153846154
0,0.181818182
0,0.2
0.82,0
0,0
0.8,0.272727273
0.64,0.222222222
0.52,0
0,0.333333333
0.63,0.111111111
0.8,0.083333333
0.64,0
0.72,0.272727273
0.8,0.2
0.83,0.071428571
0.38,0.272727273
0.93,0.111111111
0.8,0.083333333
0,0
0,0.636363636
0,0.444444444
0,0.25
0.8,0.333333333
0.9,0.675675676
0,0.083333333
0.67,0.090909091
0,0.333333333
0.73,0
0,0
0.92,0.181818182
0.65,0.272727273
0.73,0.4
0,0.071428571
0.74,0.181818182
0.8,0.083333333
1,0.222222222
0.92,0.272727273
0,0.1
0.86,0.1
0.75,0.90625
0,0.181818182
0.88,0.866666667
0.82,0.076923077
0,0.416666667
0.45,0
0.63,0.1
0.72,0.111111111
0.95,0.125
0.86,0.363636364
0,0.272727273
0.91,0.1875
0,0.272727273
0,0.272727273
1,0.294117647
0.82,0.2
0.86,0.375
0.87,0
0.84,0.272727273
0,0.272727273
1,0.25
0.54,0.111111111
0,0.25
0,0.4
0.98,0.588235294
0,0.272727273
0.79,0.272727273
0.9,0.636363636
0,0.090909091
0,0
0,0.25
0.6,0.3
0.96,0.416666667
0.83,0.3
0,0
0.79,0.25
0.96,0.1
0.73,0
0.7,0.125
0,0.090909091
0.49,0.2
0,0.090909091
0.6,0
0.82,0.125
0.8,0.272727273
0.89,0.5625
1,0.5
0,0
0.85,0.142857143
0.85,0.4375
0,0.166666667
0.85,0
0.9,0.083333333
0.73,0.090909091
0,0.555555556
0,0.083333333
0,0.333333333
0.78,0.875
1,0.333333333
0.96,0.636363636
0,0.363636364
0.71,0.636363636
0,0.181818182
0,0.285714286
0.53,0
0,0.5625
0.58,0.25
0,0.090909091
0,0.733333333
0.57,0.090909091
0,0
0,0.363636364
0,0
0,0.3125
0.74,0.307692308
0.97,0.090909091
0,0.545454545
0,0.071428571
0.97,0.3125
0,0.181818182
0.64,0.625
0.84,0.375
0.51,0.076923077
0,0.153846154
0.76,0.6
0.36,1
0.53,0.4375
0.73,0.272727273
0.84,0.090909091
0.72,0
0.87,0
1,0.272727273
0.58,0.111111111
0,0.2
0,0.625
0,0.285714286
0.87,0.653846154
0.65,0.1875
0.92,0.25
0.71,0
0,0.230769231
0,0.375
0,0.076923077
0.88,0
0,0.5
0,0.375
0.63,0.142857143
0.7,0.375
0.36,0.153846154
0,0
0.74,0.5
0.69,0.076923077
0,0.1875
0.79,0.571428571
0.76,0
0,0.133333333
1,0.111111111
0.83,0.642857143
0.89,0.875
0.88,0.526315789
0,0
0.61,0.266666667
0,0.071428571
0.71,0
0,0.25
0,0.1875
0.53,0.142857143
0.83,0.25
0,0.884615385
0.68,0.090909091
0.42,0.352941176
0,0
0.78,0.375
0.81,0.076923077
0.75,0.375
0.55,0.333333333
0.75,0.714285714
0,0.444444444
0.66,0
0,0.555555556
0,0.333333333
0,0.4375
0.9,0.153846154
0.92,0
0.91,0.111111111
0,0.25
0.95,0.545454545
0.95,0.4375
0,0.5
0,0.125
0.88,0.076923077
0,0.75
0.75,0.333333333
0,0
0,0.333333333
0,0.25
